SAISON;Discipline;Rang National;Rang comité régional;Statut équipe;Sexe équipe;Arme équipe;Catégorie de classement;Département;Nom Club/Cie Ville;Score 1;Score 2;Score 3;Score Equipe
2025;Tir à 18m;405;6;;F;CO;Arc à Poulies Femme 2025;53;UNION SPORTIVE GENESTOISE - LE GENEST ST ISLE;557;522;323;1402
2025;Campagne;7;1; ;X;;Double Mixte Arc Nu;44;ARCHERS DE L'ERDRE - CARQUEFOU;585;573;0;579
2025;Campagne;54;2;;X;;Double Mixte Arc Nu;53;LES CUPIDONS MAYENNAIS - MAYENNE;383;383;0;383
2025;Campagne;55;3;;X;;Double Mixte Arc Nu;44;ARCHERS DE LA MEE - CHATEAUBRIANT;513;0;0;256
2025;Campagne;60;4;;X;;Double Mixte Arc Nu;49;CIE DES ARCHERS DU S.O CANDEEN - CANDE;455;0;0;227
2025;Campagne;10;1; ;H;;Homme Equipe Campagne;49;S G T A - TIR A L'ARC - ANGERS;1006;1003;997;1004
2025;Campagne;13;2; ;H;;Homme Equipe Campagne;44;ARCHERS DE L'ERDRE - CARQUEFOU;1001;985;841;993
2025;Campagne;56;3;;H;;Homme Equipe Campagne;44;LA FLECHE RAGONNAISE - REZE;833;832;829;832
2025;Campagne;60;4;;H;;Homme Equipe Campagne;85;LES ARCHERS DE LA DIGUE - MONTAIGU;824;812;800;818
2025;Campagne;67;5;;H;;Homme Equipe Campagne;49;LA FLECHE AU COEUR DES MAUGES - BEAUPREAU;850;0;0;425
2025;Campagne;71;6;;H;;Homme Equipe Campagne;85;LES CARQUOIS DE GRASLA - LA RABATELIERE;828;0;0;414
2025;Campagne;7;1; ;F;;Femme Equipe Campagne;44;ARCHERS DE L'ERDRE - CARQUEFOU;928;926;902;927
2025;Campagne;32;1;;X;;Double Mixte Arc Classique;44;ARCHERS DE L'ERDRE - CARQUEFOU;586;486;0;536
2025;Campagne;40;2;;X;;Double Mixte Arc Classique;44;COMPAGNIE DES ARCHERS DU BRIVET - PONTCHATEAU;523;514;0;518
2025;Campagne;44;3;;X;;Double Mixte Arc Classique;49;LA FLECHE AU COEUR DES MAUGES - BEAUPREAU;518;492;0;505
2025;Campagne;51;4;;X;;Double Mixte Arc Classique;44;ARCHERS NANTAIS - NANTES;497;476;0;486
2025;Campagne;53;5;;X;;Double Mixte Arc Classique;44;LES ARCHERS PORNICAIS - PORNIC;489;461;0;475
2025;Campagne;55;6;;X;;Double Mixte Arc Classique;85;LES ROBINS DES FOY - SAINTE FOY;490;445;0;467
2025;Campagne;76;7;;X;;Double Mixte Arc Classique;49;TIR A L ARC CHOLETAIS - CHOLET TAC;488;0;0;244
2025;Campagne;88;8;;X;;Double Mixte Arc Classique;44;ARCHERS THOUAREENS - THOUARE SUR LOIRE;433;0;0;216
2025;Campagne;11;1;;X;;Double Mixte Arc Droit;44;ARC NATURE VALLETAIS - VALLET;423;422;0;422
2025;Campagne;29;2;;X;;Double Mixte Arc Droit;85;LES FLECHES D ALIENOR - LES FLÉCHES D'ALIÉNOR;267;0;0;267
2025;Campagne;9;1; ;X;;Double Mixte Arc à Poulies;44;ARCHERS DE L'ERDRE - CARQUEFOU;766;760;0;763
2025;Campagne;10;2; ;X;;Double Mixte Arc à Poulies;44;LES FLECHES TURBALLAISES - LA TURBALLE;767;758;0;762
2025;Campagne;15;3; ;X;;Double Mixte Arc à Poulies;44;CIE LES FLECHES DONGEOISES - DONGES;756;736;0;746
2025;Campagne;26;4;;X;;Double Mixte Arc à Poulies;53;UNION SPORTIVE GENESTOISE - LE GENEST ST ISLE;729;717;0;723
2025;Campagne;45;5;;X;;Double Mixte Arc à Poulies;44;CIE D ARC DE GUERANDE - GUERANDE;688;669;0;678
2025;Campagne;62;6;;X;;Double Mixte Arc à Poulies;72;ARC DU MAINE (LE MANS) - LE MANS MAINE;650;599;0;624
2025;Campagne;91;7;;X;;Double Mixte Arc à Poulies;44;LES ARCHERS PORNICAIS - PORNIC;649;0;0;324
2025;Campagne;95;8;;X;;Double Mixte Arc à Poulies;49;LA FLECHE AU COEUR DES MAUGES - BEAUPREAU;634;0;0;317
2025;3D;46;1; ;H;;Homme Equipe Tir sur cibles 3D;44;ARCHERS DE ST HERBLAIN - ST HERBLAIN;1075;1027;940;1051
2025;3D;49;2;;H;;Homme Equipe Tir sur cibles 3D;49;JEANNE D'ARC DE SAUMUR TIR A L'ARC - SAUMUR;1075;1017;1001;1046
2025;3D;68;3;;H;;Homme Equipe Tir sur cibles 3D;44;ARC NATURE VALLETAIS - VALLET;999;951;934;975
2025;3D;83;4;;H;;Homme Equipe Tir sur cibles 3D;44;CIE LES FLECHES DONGEOISES - DONGES;940;879;0;909
2025;3D;94;5;;H;;Homme Equipe Tir sur cibles 3D;85;ARCHERS DE GROSBREUIL - GROSBREUIL;855;822;0;838
2025;3D;102;6;;H;;Homme Equipe Tir sur cibles 3D;85;ARCHERS DE LA CHOUANNERIE - LES MAGNILS REIGNIERS;811;719;0;765
2025;3D;113;7;;H;;Homme Equipe Tir sur cibles 3D;72;CIE ARCHERS BOIS DES VALLEES - BOULOIRE;1080;0;0;540
2025;3D;166;8;;H;;Homme Equipe Tir sur cibles 3D;85;LES GARNA'ARCHERS - LA GARNACHE;622;0;0;311
2025;3D;51;9;;F;;Femme Equipe Tir sur cibles 3D;85;ARCHERS DE LA CHOUANNERIE - LES MAGNILS REIGNIERS;553;0;0;276
2025;3D;66;1;;X;;Double Mixte Arc Nu;49;JEANNE D'ARC DE SAUMUR TIR A L'ARC - SAUMUR;627;596;0;611
2025;3D;71;2;;X;;Double Mixte Arc Nu;72;CIE ARCHERS BOIS DES VALLEES - BOULOIRE;612;604;0;608
2025;3D;142;3;;X;;Double Mixte Arc Nu;85;ARCHERS DE GROSBREUIL - GROSBREUIL;431;390;0;410
2025;3D;143;4;;X;;Double Mixte Arc Nu;85;ARCHERS DE LA CHOUANNERIE - LES MAGNILS REIGNIERS;429;371;0;400
2025;3D;164;5;;X;;Double Mixte Arc Nu;44;CIE LES FLECHES DONGEOISES - DONGES;542;0;0;271
2025;3D;175;6;;X;;Double Mixte Arc Nu;85;LES ARCHERS SABLAIS - LES SABLES D'OLONNE;500;0;0;250
2025;3D;182;7;;X;;Double Mixte Arc Nu;72;ASSO NOUVELLE DES ARCHERS DE LA NATURE - LE MANS - LE MANS NATURE;458;0;0;229
2025;3D;47;1;;X;;Double Mixte Arc Droit;44;ARC NATURE VALLETAIS - VALLET;429;429;0;429
2025;3D;97;2;;X;;Double Mixte Arc Droit;85;ARCHERS DE LA CHOUANNERIE - LES MAGNILS REIGNIERS;314;0;0;157
2025;3D;120;1;;X;;Double Mixte Arc Chasse;85;LES FLECHES D ALIENOR - LES FLÉCHES D'ALIÉNOR;347;0;0;173
2025;3D;7;1; ;X;;Double Mixte Arc Libre;44;CIE LES FLECHES DONGEOISES - DONGES;956;955;0;955
2025;3D;20;2;;X;;Double Mixte Arc Libre;44;LES FLECHES TURBALLAISES - LA TURBALLE;911;906;0;908
2025;3D;29;3; ;X;;Double Mixte Arc Libre;44;ARCHERS DE L'ERDRE - CARQUEFOU;896;878;0;887
